epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.137,0.85277,3.42377,0.99779,0.00374,0.96183,0.21575,0.1607,0.71311,3.61123,0.85841,0.0003,0.0003,0.0003
2,262.408,0.96557,2.38516,1.02722,0.78588,0.11111,0.36072,0.25967,0.90307,3.16778,0.92643,0.00056974,0.00056974,0.00056974
3,387.308,0.95495,2.02074,1.00526,0.72117,0.21977,0.45586,0.32981,1.03676,3.05147,1.073,0.00079856,0.00079856,0.00079856
4,547.177,0.89397,1.76913,0.99784,0.50594,0.70153,0.66075,0.51828,0.81228,1.96666,0.96216,0.000802,0.000802,0.000802
5,715.482,0.87611,1.72724,0.9974,0.51056,0.71996,0.60793,0.48102,0.71683,1.76103,0.95789,0.000736,0.000736,0.000736
6,881.937,0.76988,1.58461,0.93868,0.75311,0.71673,0.75148,0.59238,0.79135,1.56715,1.00121,0.00067,0.00067,0.00067
7,1018.45,0.79128,1.53549,0.94952,0.74356,0.83727,0.79117,0.61435,0.75177,1.75506,0.95866,0.000604,0.000604,0.000604
8,1150.79,0.72679,1.35885,0.92683,0.78872,0.76377,0.89588,0.71165,0.72056,1.31873,0.94928,0.000538,0.000538,0.000538
9,1285.06,0.69754,1.25178,0.92009,0.8881,0.78463,0.89395,0.73998,0.65373,1.11537,0.93562,0.000472,0.000472,0.000472
10,1433.83,0.66053,1.15055,0.90204,0.93902,0.77057,0.89493,0.73904,0.64159,1.05791,0.92369,0.000406,0.000406,0.000406
11,1568.75,0.68641,1.10693,0.91117,0.82301,0.86537,0.90098,0.76056,0.6049,1.02812,0.90777,0.00034,0.00034,0.00034
12,1703.05,0.64472,1.03928,0.90909,0.94387,0.78421,0.91974,0.7766,0.57587,0.92353,0.89426,0.000274,0.000274,0.000274
13,1836.7,0.62308,0.97675,0.89924,0.87218,0.89707,0.92434,0.7937,0.54604,0.92036,0.88894,0.000208,0.000208,0.000208
14,1985.73,0.59702,0.94849,0.88479,0.89982,0.89098,0.94309,0.82026,0.53325,0.85445,0.88141,0.000142,0.000142,0.000142
15,2119.43,0.55197,0.89425,0.87497,0.91693,0.876,0.94071,0.82244,0.52333,0.83184,0.88616,7.6e-05,7.6e-05,7.6e-05
